date,Gold Price(24 Karat),Gold Price(22 Karat),Gold Price(18 Karat),Gold Price(14 Karat),Gold Price(10 Karat)
12-05-2020,4125,3781,3094,2406,1719
14-05-2020,4206,3856,3155,2454,1753
18-05-2020,4218,3866,3163,2460,1757
20-05-2020,4244,3890,3183,2476,1768
22-05-2020,4240,3887,3180,2473,1767
26-05-2020,4157,3811,3118,2425,1732
28-05-2020,4188,3839,3141,2443,1745
02-06-2020,4168,3821,3126,2431,1737
04-06-2020,4156,3809,3117,2424,1731
08-06-2020,4115,3772,3086,2401,1715
10-06-2020,4223,3871,3167,2463,1760
12-06-2020,4225,3873,3169,2465,1761
16-06-2020,4241,3888,3181,2474,1767
18-06-2020,4234,3881,3175,2470,1764
22-06-2020,4278,3921,3208,2495,1782
24-06-2020,4292,3934,3219,2503,1788
26-06-2020,4307,3948,3230,2512,1794
30-06-2020,4332,3971,3249,2527,1805
02-07-2020,4266,3911,3200,2489,1778
06-07-2020,4284,3927,3213,2499,1785
08-07-2020,4359,3996,3269,2543,1816
10-07-2020,4348,3985,3261,2536,1812
14-07-2020,4383,4017,3287,2556,1826
16-07-2020,4347,3985,3260,2536,1811
20-07-2020,4370,4006,3277,2549,1821
22-07-2020,4486,4112,3365,2617,1869
24-07-2020,4569,4188,3426,2665,1904
28-07-2020,4710,4318,3533,2748,1963
30-07-2020,4706,4313,3529,2745,1961
04-08-2020,4897,4489,3673,2856,2040
06-08-2020,4983,4568,3737,2907,2076
10-08-2020,4883,4476,3662,2848,2035
12-08-2020,4621,4236,3466,2696,1925
14-08-2020,4679,4289,3509,2729,1950
18-08-2020,4808,4408,3606,2805,2004
20-08-2020,4707,4314,3530,2746,1961
24-08-2020,4604,4220,3453,2686,1918
26-08-2020,4663,4275,3498,2720,1943
28-08-2020,4619,4234,3465,2695,1925
02-09-2020,4580,4198,3435,2672,1908
04-09-2020,4553,4174,3415,2656,1897
08-09-2020,4580,4198,3435,2672,1908
10-09-2020,4596,4213,3447,2681,1915
14-09-2020,4618,4233,3464,2694,1924
16-09-2020,4635,4248,3476,2703,1931
18-09-2020,4616,4231,3462,2693,1923
22-09-2020,4500,4125,3375,2625,1875
24-09-2020,4440,4070,3330,2590,1850
28-09-2020,4464,4092,3348,2604,1860
30-09-2020,4463,4091,3347,2603,1860
02-10-2020,4478,4105,3359,2612,1866
06-10-2020,4450,4079,3338,2596,1854
08-10-2020,4465,4093,3349,2605,1861
12-10-2020,4539,4161,3405,2648,1891
14-10-2020,4473,4101,3355,2610,1864
16-10-2020,4485,4111,3364,2616,1869
20-10-2020,4514,4138,3386,2633,1881
22-10-2020,4516,4140,3387,2634,1882
26-10-2020,4523,4146,3392,2638,1884
28-10-2020,4483,4110,3363,2615,1868
30-10-2020,4507,4132,3380,2629,1878
03-11-2020,4595,4212,3446,2681,1915
05-11-2020,4638,4251,3478,2705,1932
09-11-2020,4448,4077,3336,2595,1853
11-11-2020,4470,4098,3353,2608,1863
13-11-2020,4528,4151,3396,2641,1887
17-11-2020,4512,4136,3384,2632,1880
19-11-2020,4439,4069,3329,2589,1850
23-11-2020,4384,4019,3288,2558,1827
25-11-2020,4290,3933,3218,2503,1788
27-11-2020,4253,3898,3190,2481,1772
02-12-2020,4336,3975,3252,2529,1807
04-12-2020,4364,4000,3273,2546,1818
08-12-2020,4433,4064,3325,2586,1847
10-12-2020,4358,3995,3268,2542,1816
